judge,candidate_chosen,candidate_not_chosen
t1pm,15,41
t1pm,4,16
t1pm,12,23
t1pm,16,1
t1pm,44,26
t1pm,11,24
t1pm,31,41
4@jl,40,27
4@jl,8,2
4@jl,14,28
4@jl,7,19
4@jl,46,45
4@jl,9,21
t1pm,34,22
dsm.,13,18
dsm.,35,32
dsm.,15,20
dsm.,5,25
dsm.,4,17
dsm.,6,39
dsm.,42,36
dsm.,2,24
dsm.,28,19
dsm.,20,43
dsm.,13,42
dsm.,40,33
dsm.,3,23
dsm.,15,35
dsm.,30,37
dsm.,11,29
dsm.,27,18
dsm.,5,26
dsm.,21,45
dsm.,46,44
dsm.,4,41
dsm.,22,25
dsm.,7,12
dsm.,14,1
dsm.,34,16
dsm.,8,17
dsm.,32,31
dsm.,9,38
dsm.,6,36
dsm.,39,10
dsm.,8,30
dsm.,42,29
dsm.,11,18
dsm.,2,25
dsm.,15,39
dsm.,21,10
dsm.,32,26
dsm.,14,43
dsm.,20,27
dsm.,5,4
dsm.,22,24
dsm.,38,36
dsm.,12,16
dsm.,41,35
dsm.,6,28
dsm.,17,1
4@jl,40,44
4@jl,46,19
4@jl,7,31
4@jl,13,9
4@jl,34,23
4@jl,37,33
4@jl,45,3
4@jl,15,9
4@jl,1,41
4@jl,37,34
4@jl,13,36
4@jl,44,16
4@jl,22,30
4@jl,40,24
4@jl,39,17
4@jl,20,2
4@jl,43,6
4@jl,38,27
4@jl,8,23
4@jl,7,18
4@jl,5,11
4@jl,45,12
4@jl,3,29
4@jl,14,19
4@jl,21,33
4@jl,46,32
4@jl,4,42
4@jl,25,26
4@jl,28,10
4@jl,31,35
4@jl,5,1
4@jl,38,29
4@jl,15,37
4@jl,46,4
4@jl,43,19
4@jl,33,36
4@jl,13,40
4@jl,27,10
4@jl,32,28
4@jl,34,31
ifR.,42,26
ifR.,44,17
ifR.,39,41
ifR.,9,2
ifR.,11,3
ifR.,20,14
ifR.,16,24
ifR.,45,25
ifR.,6,18
ifR.,8,12
ifR.,7,30
ifR.,22,23
ifR.,21,35
ifR.,19,38
ifR.,34,11
ifR.,43,24
ifR.,5,37
ifR.,20,30
ifR.,29,10
ifR.,6,35
ifR.,44,42
ifR.,3,18
ifR.,40,8
ifR.,28,23
ifR.,7,21
ifR.,31,16
ifR.,15,25
ifR.,27,32
ifR.,14,36
ifR.,9,46
ifR.,39,12
ifR.,2,41
ifR.,33,17
ifR.,22,26
ifR.,4,45
ifR.,3,30
ifR.,11,10
ifR.,13,39
ifR.,6,2
ifR.,20,22
ifR.,44,37
ifR.,43,28
ifR.,7,41
ifR.,8,19
ifR.,5,24
ifR.,36,26
DuS.,12,29
DuS.,31,25
DuS.,27,16
DuS.,14,34
DuS.,4,23
DuS.,40,45
DuS.,15,46
DuS.,17,35
DuS.,38,1
DuS.,9,18
DuS.,21,42
DuS.,33,32
DuS.,43,30
DuS.,37,45
DuS.,14,23
DuS.,12,28
DuS.,3,17
DuS.,18,41
DuS.,34,7
DuS.,10,24
DuS.,6,1
DuS.,11,31
DuS.,46,26
DuS.,40,19
DuS.,27,29
DuS.,38,35
DuS.,5,2
DuS.,36,25
DuS.,4,20
DuS.,42,16
DuS.,21,32
DuS.,9,33
DuS.,44,13
DuS.,39,8
DuS.,15,22
DuS.,38,25
DuS.,20,23
DuS.,2,21
DuS.,41,17
DuS.,14,32
DuS.,43,11
DuS.,34,28
DuS.,18,35
DuS.,37,24
DuS.,13,30
DuS.,4,9
onpm,8,31
onpm,46,16
onpm,22,19
onpm,33,3
onpm,1,26
onpm,12,6
onpm,40,36
onpm,15,44
onpm,39,29
onpm,5,45
onpm,10,7
onpm,27,42
onpm,9,42
onpm,28,31
onpm,5,17
onpm,12,21
onpm,40,41
onpm,2,23
onpm,39,16
onpm,8,1
onpm,33,30
onpm,32,18
onpm,10,22
onpm,11,25
onpm,15,6
onpm,44,20
onpm,3,24
onpm,29,37
onpm,34,38
onpm,43,35
onpm,7,14
onpm,27,45
onpm,36,19
onpm,13,4
onpm,46,25
onpm,43,26
onpm,33,1
onpm,6,45
onpm,11,44
onpm,7,27
onpm,39,23
onpm,13,3
onpm,15,17
onpm,22,38
onpm,19,31
onpm,9,24
kiV.,14,40
kiV.,26,35
kiV.,46,42
kiV.,2,36
kiV.,16,10
kiV.,37,41
kiV.,5,18
kiV.,4,29
kiV.,12,34
kiV.,28,30
kiV.,8,20
kiV.,21,23
kiV.,32,36
kiV.,40,18
kiV.,8,29
kiV.,10,26
kiV.,20,19
kiV.,30,24
kiV.,6,11
kiV.,16,35
kiV.,13,1
kiV.,9,31
kiV.,32,45
kiV.,27,17
kiV.,39,21
kiV.,43,25
kiV.,7,5
kiV.,14,33
kiV.,12,42
kiV.,28,3
kiV.,46,34
kiV.,38,37
kiV.,22,4
kiV.,44,41
kiV.,15,2
kiV.,39,35
kiV.,45,19
kiV.,16,26
kiV.,37,3
kiV.,43,12
kiV.,38,33
kiV.,29,34
kiV.,46,40
kiV.,28,5
kiV.,9,41
kiV.,21,8
llP.,1,20
llP.,27,30
llP.,13,22
llP.,17,10
llP.,4,25
llP.,15,11
llP.,2,7
llP.,14,18
llP.,6,42
llP.,23,24
llP.,44,32
llP.,31,36
llP.,6,46
llP.,20,32
llP.,4,33
llP.,16,18
llP.,39,25
llP.,45,28
llP.,3,19
llP.,34,43
llP.,14,31
llP.,21,26
llP.,38,11
llP.,13,24
llP.,12,36
llP.,7,44
llP.,5,30
llP.,1,29
llP.,8,10
llP.,37,22
llP.,9,23
llP.,42,41
llP.,27,35
llP.,15,40
llP.,2,17
llP.,38,41
llP.,2,45
llP.,6,24
llP.,46,22
llP.,15,7
llP.,13,26
llP.,36,10
llP.,40,4
llP.,31,44
llP.,33,28
llP.,5,29
OmM.,32,25
OmM.,12,1
OmM.,3,20
OmM.,43,21
OmM.,9,19
OmM.,30,16
OmM.,17,42
OmM.,11,23
OmM.,8,18
OmM.,37,35
OmM.,39,27
OmM.,34,27
OmM.,14,26
OmM.,14,6
OmM.,40,20
OmM.,13,46
OmM.,8,34
OmM.,2,33
OmM.,4,39
OmM.,12,25
OmM.,30,38
OmM.,16,23
OmM.,44,9
OmM.,28,22
OmM.,43,10
OmM.,37,42
OmM.,21,1
OmM.,29,41
OmM.,7,24
OmM.,17,32
OmM.,11,36
OmM.,15,3
OmM.,18,31
OmM.,5,19
OmM.,45,35
OmM.,28,37
OmM.,15,27
OmM.,5,38
OmM.,16,20
OmM.,14,8
OmM.,43,29
OmM.,9,22
OmM.,10,35
OmM.,39,42
OmM.,4,21
OmM.,6,32
@lys,40,30
@lys,31,46
@lys,2,18
@lys,12,26
@lys,13,33
@lys,23,41
@lys,36,3
@lys,7,25
@lys,34,17
@lys,11,45
@lys,19,24
@lys,44,1
@lys,16,19
@lys,22,29
@lys,20,41
@lys,9,32
@lys,15,21
@lys,5,44
@lys,27,14
@lys,12,2
@lys,46,24
@lys,8,7
@lys,4,37
@lys,17,25
@lys,34,40
@lys,43,33
@lys,13,6
@lys,28,1
@lys,42,23
@lys,3,10
@lys,11,30
@lys,31,26
@lys,36,35
@lys,39,45
@lys,38,18
@lys,18,10
@lys,34,25
@lys,17,36
@lys,23,46
@lys,20,45
@lys,27,43
@lys,32,24
@lys,11,35
@lys,40,39
@lys,3,42
@lys,6,22
t1pm,31,29
t1pm,9,7
t1pm,5,8
t1pm,38,26
t1pm,12,33
t1pm,37,21
t1pm,30,14
t1pm,28,13
t1pm,1,19
t1pm,2,44
t1pm,20,25
t1pm,13,32
t1pm,44,18
t1pm,17,31
t1pm,3,46
t1pm,6,33
t1pm,4,8
t1pm,15,10
t1pm,45,42
t1pm,21,29
t1pm,36,24
t1pm,40,16
t1pm,34,19
t1pm,37,1
t1pm,28,26
t1pm,22,41
t1pm,12,35
t1pm,38,23
t1pm,9,11
t1pm,2,14
t1pm,39,7
t1pm,30,25
t1pm,5,27
t1pm,43,38
t1pm,33,41
t1pm,46,21
t1pm,20,39
t1pm,8,3
