individual,q1,q2,q3,q4,mark,q124_mark,teachers,1styear-X,1styear-S,2ndyear-X,2ndyear-S,mean,peer,grade
42,0,2,0,0,2,2,-2.45393024,50,45,28,-99,41,-1.120895956,1
87,0,2,0,2,4,4,-2.69345295,47,62,34,41,46,-2.127673156,1
43,0,2,0,2,4,4,-1.30248766,52,47,-99,18,39,-1.381261905,1
73,0,0,0,5,5,5,-2.11287019,57,65,18,17,39,-1.7576282,1
99,0,0,0,5,5,5,-1.94879731,88,86,81,70,81,-1.620272444,1
146,0,1,0,5,6,6,-1.58355543,31,32,24,23,28,-1.53656938,1
89,0,1,0,5,6,6,-1.47107278,30,48,15,11,26,-1.127148339,1
145,2,2,0,2,6,6,-1.46510873,-99,-99,-99,-99,-99,-0.301859117,1
98,0,2,0,5,7,7,-2.36205183,41,51,15,19,32,-2.021840572,1
49,0,2,0,5,7,7,-1.59578568,41,56,29,20,37,-1.263422917,1
109,4,1,0,2,7,7,-1.53205236,40,45,36,63,46,-0.665439248,1
115,2,2,1,2,7,6,0.11112483,83,91,76,73,81,0.079901882,2
23,1,2,0,5,8,8,-1.5410675,54,33,34,17,35,-2.153330663,1
93,0,2,1,5,8,7,-1.28238328,81,75,65,54,69,-1.950143439,1
17,2,4,0,2,8,8,-1.18158144,32,41,26,26,31,-1.285590318,1
97,0,4,0,5,9,9,-1.81245823,63,55,45,33,49,-1.565977189,1
41,2,4,1,2,9,8,-0.57691409,71,42,45,-99,53,-0.993129601,1
117,2,2,0,5,9,9,-0.2302528,29,35,31,56,38,-0.524381057,2
86,0,4,0,5,9,9,-1.46831025,41,53,32,19,36,-0.325767818,1
24,1,2,1,5,9,8,0.50142162,84,78,68,59,72,0.652863889,2
48,0,4,1,5,10,9,-0.5484495,38,40,34,11,31,-1.849445638,1
63,2,2,1,5,10,9,-1.50517199,0,34,17,3,14,-1.776548473,1
155,0,4,4,2,10,6,0.08064118,48,61,45,33,47,-1.074385323,2
18,0,4,4,2,10,6,0.02979281,38,47,25,21,33,-0.555464435,2
114,2,2,1,5,10,9,-1.08062506,43,62,50,28,46,-0.47345176,1
69,1,0,4,5,10,6,-0.67828802,-99,-99,-99,-99,-99,-0.460699977,1
45,4,2,0,5,11,11,-1.11038133,-99,-99,-99,-99,-99,-3.242622916,1
37,0,4,2,5,11,9,-0.92333676,86,65,48,27,57,-1.276437002,1
70,3,4,2,2,11,9,-1.09427773,40,-99,6,30,25,-1.188685878,1
30,3,4,4,0,11,7,-0.1117303,58,32,10,16,29,-1.122658164,2
32,3,4,2,2,11,9,-0.45815727,86,61,40,42,57,-0.722566148,1
84,2,2,2,5,11,9,-0.21059447,65,78,46,35,56,-0.564706893,2
138,0,2,4,5,11,7,0.31509756,68,88,82,90,82,-0.437771373,2
9,3,2,1,5,11,10,-0.28778554,29,37,30,7,26,-0.410549739,2
74,3,4,2,2,11,9,-0.15850744,80,80,63,54,69,-0.147466418,2
26,3,4,4,0,11,7,0.07151209,76,77,65,56,69,-0.070280938,2
20,2,2,2,5,11,9,0.21915218,41,64,29,17,38,0.08587722,2
123,0,6,0,5,11,11,0.49782979,45,78,53,51,57,0.637511208,2
77,2,4,1,5,12,11,-1.19463566,52,40,15,33,35,-1.551590544,1
36,2,4,1,5,12,11,-0.26844269,80,52,70,43,61,-0.648508589,2
122,4,3,0,5,12,12,-0.88299843,35,55,34,-99,41,-0.152848357,1
65,1,4,2,5,12,10,-0.42527097,62,69,71,72,69,-0.136243628,2
121,4,6,0,2,12,12,-0.19277559,57,71,43,64,59,0.681197837,2
132,4,6,2,0,12,10,0.14822943,42,43,-99,48,44,0.808552834,2
64,3.5,2,2,5,12.5,10.5,-0.20239688,-99,-99,-99,62,62,-0.743251531,2
120,4.5,4,4,0,12.5,8.5,0.37645658,61,51,35,54,50,-0.075750008,2
29,4.5,4,4,0,12.5,8.5,0.41847693,96,83,67,64,78,0.108826891,2
72,0,4,4,5,13,9,-0.49326328,40,30,17,-99,29,-1.014778299,1
88,0,4,4,5,13,9,-0.73199826,53,62,15,15,36,-0.675244644,1
78,2,4,2,5,13,11,-1.16719163,70,66,40,45,55,-0.477761476,1
80,3,4,4,2,13,9,-0.99662062,55,53,21,9,35,-0.472604587,1
131,0,6,2,5,13,11,-0.89775146,29,52,27,40,37,-0.242077735,1
113,0,6,2,5,13,11,-0.417091,48,75,53,49,56,-0.219656809,2
11,2,4,2,5,13,11,-0.90205062,15,30,0,-99,15,-0.017863293,1
106,2,6,0,5,13,13,0.84916645,73,65,60,44,61,0.12973499,2
34,5.5,4,4,0,13.5,9.5,-0.44961094,65,51,54,29,50,0.58736072,1
128,4,6,4,0,14,10,0.49133429,45,72,-99,30,49,-2.327260713,2
62,3,4,2,5,14,12,0.01819612,59,60,47,59,56,-0.915563344,2
76,4,4,4,2,14,10,-0.1247588,88,70,70,52,70,-0.349596923,2
107,3,4,7,0,14,7,0.58318119,50,60,41,24,44,-0.028332599,2
66,3,4,2,5,14,12,0.08637269,76,82,75,50,71,0.313672453,2
130,4,4,4,2,14,10,0.70349697,-99,25,1,11,12,0.542403534,2
129,2,6,4,2,14,10,1.2227646,-99,76,64,76,72,0.634750275,3
57,4.5,4,4,2,14.5,10.5,-0.6579872,41,64,39,20,41,-0.101019173,1
16,2,4,4,5,15,11,-0.33490626,53,59,40,23,44,-0.547651584,2
61,2,4,4,5,15,11,-0.42835446,68,72,55,30,56,-0.238158352,2
47,2,4,4,5,15,11,-0.53681901,41,41,40,13,34,-0.149932303,1
40,2,4,4,5,15,11,-0.41865883,66,47,38,39,48,-0.108499434,2
139,2,6,2,5,15,13,-0.44340792,59,-99,40,52,50,-0.074231827,2
79,1,2,7,5,15,8,0.66694124,83,91,97,96,92,0.022754362,2
144,2,6,2,5,15,13,-0.51971743,65,79,70,70,71,0.023506654,1
153,2,6,2,5,15,13,-0.61769756,58,53,43,55,52,0.161558324,1
141,2,6,2,5,15,13,-0.21710977,44,57,49,55,51,0.281039223,2
142,2,6,2,5,15,13,-1.1140266,59,71,55,50,59,0.610910694,1
53,2,4,4,5,15,11,2.25799713,85,87,83,76,83,0.717415603,3
60,4.5,4,2,5,15.5,13.5,-0.21876608,35,69,36,7,37,-0.749448398,2
68,4.5,4,2,5,15.5,13.5,0.0673711,88,88,96,70,86,-0.146738918,2
28,5.5,4,4,2,15.5,11.5,0.21132876,88,76,54,45,66,0.165057303,2
67,4.5,4,2,5,15.5,13.5,-0.137366,74,68,55,41,60,0.25671264,2
12,4.5,4,2,5,15.5,13.5,0.81736749,65,78,54,-99,66,0.695722756,2
71,4.5,4,2,5,15.5,13.5,0.48069567,42,60,31,35,42,1.534291855,2
33,2,2,7,5,16,9,-0.3379338,86,58,49,50,61,-1.118316129,2
54,3,4,4,5,16,12,0.45172565,53,88,66,56,66,-0.427863014,2
95,7,2,2,5,16,14,0.06861725,46,47,40,46,45,0.110268377,2
22,3,4,4,5,16,12,1.00104855,41,51,44,34,43,0.503202391,3
38,3,4,4,5,16,12,0.14144973,83,35,46,35,50,0.513841288,2
46,3,4,4,5,16,12,1.17222761,94,84,83,59,80,0.658600434,3
51,3,4,4,5,16,12,0.27008414,74,79,67,-99,73,0.681047591,2
118,7,4,5,0,16,11,0.53609428,46,49,49,32,44,0.785166992,2
13,3,4,4,5,16,12,0.59439189,65,75,65,53,65,1.286250012,2
4,5.5,4,2,5,16.5,14.5,-0.07034149,44,66,57,51,55,0.007599717,2
5,4,4,4,5,17,13,-0.93318204,41,41,40,23,36,-0.63011503,1
6,3,2,7,5,17,10,0.07190487,24,49,21,-99,31,-0.588951174,2
25,4,4,4,5,17,13,1.00726081,35,52,41,23,38,-0.165083874,3
154,4,6,2,5,17,15,0.21899274,70,72,63,81,72,-0.050651193,2
85,0,6,6,5,17,11,0.51016604,-99,91,84,85,87,0.192692032,2
136,4,4,4,5,17,13,-0.1394755,57,69,71,81,70,0.224267007,2
135,4,6,2,5,17,15,-0.30330204,42,66,40,55,51,0.676248805,2
147,4,6,2,5,17,15,0.61464292,49,67,70,54,60,1.188007502,2
8,4.5,4,4,5,17.5,13.5,0.52339117,71,67,60,54,63,-0.747315043,2
59,4.5,4,4,5,17.5,13.5,-0.28286063,65,77,57,38,59,-0.011580613,2
58,4.5,4,4,5,17.5,13.5,-0.56657751,65,72,43,27,52,0.190606043,1
2,4.5,4,4,5,17.5,13.5,0.58650778,53,53,43,36,46,0.672602492,2
7,4.5,4,4,5,17.5,13.5,0.41955565,53,82,80,54,67,0.684138813,2
52,4.5,4,4,5,17.5,13.5,0.43276932,79,93,70,70,78,0.820365987,2
81,4.5,4,4,5,17.5,13.5,0.6553903,70,74,53,56,63,1.138396708,2
82,4.5,4,4,5,17.5,13.5,0.7017475,69,53,6,24,38,1.140174136,2
150,7,4,2,5,18,16,-2.05253473,40,51,24,40,39,-1.495370427,1
108,7,4,2,5,18,16,-0.29822345,60,51,46,53,53,-0.763873754,2
27,5.5,4,4,5,18.5,14.5,0.42250026,58,34,35,31,40,-0.373895737,2
152,4,6,4,5,19,15,0.42009377,53,56,60,53,56,-0.349241464,2
19,3,4,7,5,19,12,1.24088039,68,65,-99,47,60,-0.30288382,3
100,7,6,1,5,19,18,-1.48746865,60,68,63,41,58,-0.140680663,1
91,7,6,1,5,19,18,-0.61755301,46,59,36,46,47,-0.082939748,1
3,6,4,4,5,19,15,0.72966696,68,81,62,60,68,0.234910801,2
10,3,4,7,5,19,12,0.898186,35,42,0,-99,26,0.369168363,2
119,7,6,1,5,19,18,0.43928735,46,71,54,58,57,1.020810405,2
15,3,4,7,5,19,12,1.6026857,85,81,60,54,70,1.0937701,3
75,3.5,4,7,5,19.5,12.5,0.39076031,81,69,55,67,68,0.830798349,2
55,2,6,7,5,20,13,0.68914925,74,61,46,26,52,0.151765097,2
102,7,6,2,5,20,18,0.63013374,73,77,60,58,67,0.523365813,2
133,7,6,2,5,20,18,-0.21621683,77,83,72,87,80,0.851680084,2
148,7,6,2,5,20,18,0.58657814,87,88,86,91,88,0.907835454,2
127,7,4,4,5,20,16,0.80124419,65,68,50,38,55,1.261281908,2
116,7,4,4,5,20,16,0.70542776,-99,-99,66,74,70,1.466047902,2
143,7,6,2,5,20,18,0.33733034,91,94,86,85,89,2.215966202,2
50,7.5,4,4,5,20.5,16.5,0.62258059,91,86,77,59,78,1.491076832,2
35,4.5,4,7,5,20.5,13.5,1.72404334,90,85,83,85,86,1.75207212,3
56,3,6,7,5,21,14,0.17480794,82,73,58,53,67,0.050605378,2
92,4,6,6,5,21,15,0.30666342,95,91,88,89,91,1.135459711,2
103,10,6,4,2,22,18,0.69079857,67,95,96,92,88,0.684727111,2
112,4,6,10,2,22,12,1.30104042,72,85,80,86,81,0.832763452,3
90,10,6,1,5,22,21,0.09132857,91,85,55,60,73,0.899508116,2
105,4,6,7,5,22,15,1.25433979,67,61,88,74,73,1.52885937,3
39,10,6,2,5,23,21,-1.86483866,59,45,27,33,41,-1.658363643,1
101,10,6,2,5,23,21,0.12450875,74,88,76,86,81,0.662914886,2
137,10,6,2,5,23,21,0.16095497,83,72,51,70,69,0.765179497,2
124,7,4,7,5,23,16,1.15006027,55,76,61,68,65,0.822922083,3
31,4,4,10,5,23,13,1.86054649,93,85,75,83,84,1.134007902,3
1,7,4,7,5,23,16,1.47882189,56,82,70,44,63,2.14073192,3
14,4.5,4,10,5,23.5,13.5,1.02279206,68,78,60,40,62,-0.558427168,3
94,10,6,3,5,24,21,0.20862839,62,87,70,57,69,0.986933818,2
96,10,6,4,5,25,21,0.67602163,61,80,66,75,71,0.774869297,2
126,7,6,7,5,25,18,1.71325534,89,92,81,95,89,2.35073359,3
21,4.5,6,10,5,25.5,15.5,1.60149788,-99,-99,-99,-99,-99,0.523833664,3
104,10,6,6,5,27,21,1.52838188,72,86,83,73,79,0.896069537,3
149,10,6,6,5,27,21,0.75292712,59,59,62,56,59,0.928562689,2
83,10,6,6,5,27,21,2.47671392,83,77,-99,51,70,1.49579529,3
125,10,6,7,5,28,21,1.46146469,49,73,30,40,48,0.540573784,3
110,7,6,10,5,28,18,1.67281961,66,91,85,85,82,1.607445058,3
111,10,6,9,5,30,21,1.13829986,84,88,93,82,87,1.80845807,3
151,10,6,10,5,31,21,1.63502396,83,88,96,89,89,0.397808791,3
140,10,6,10,5,31,21,1.16082423,85,88,95,96,91,1.142581023,3
134,10,6,10,5,31,21,1.85663379,-99,-99,-99,-99,-99,1.23924501,3