individual,estimate,year,grade
102,1.47267888,1964,1
97,1.839537337,1964,1
99,2.110095148,1964,1
101,2.220292079,1964,1
100,2.510759788,1964,1
98,2.852560328,1964,1
96,2.733260331,1964,4
92,2.860666197,1964,4
93,3.208502555,1964,4
95,3.221779648,1964,4
94,3.23026236,1964,4
91,3.504450325,1964,4
88,2.552387688,1964,5
85,2.931486363,1964,5
87,2.996915611,1964,5
90,3.409413543,1964,5
86,3.522452599,1964,5
89,3.690922574,1964,5
21,1.44554148,1968,1
25,1.933232555,1968,1
30,2.051333045,1968,1
34,2.072245947,1968,1
27,2.176172331,1968,1
24,2.746715202,1968,1
37,2.866218961,1968,4
31,3.161869651,1968,4
36,3.238123808,1968,4
20,3.254238492,1968,4
26,3.561551191,1968,4
22,4.078950059,1968,4
33,3.093072301,1968,5
32,3.57537298,1968,5
35,3.592832304,1968,5
28,3.89707531,1968,5
23,4.256888641,1968,5
29,4.407938068,1968,5
63,0.133277264,1996,1
65,0.25496639,1996,1
62,0.57389403,1996,1
66,0.71456355,1996,1
67,1.131300446,1996,1
64,1.413927787,1996,1
61,2.152000434,1996,5
60,2.214101439,1996,5
58,2.403368989,1996,5
57,2.538725171,1996,5
56,2.770326505,1996,5
59,2.884190587,1996,5
74,0.024631933,2012,1
75,0.970019741,2012,1
77,1.258273346,2012,1
78,1.282917349,2012,1
76,1.518918687,2012,1
73,1.776537557,2012,1
82,1.604499439,2012,4
81,1.707060944,2012,4
84,1.89002733,2012,4
80,2.139168494,2012,4
79,2.491401513,2012,4
83,2.647820322,2012,4
70,1.942829715,2012,5
72,2.419758072,2012,5
71,2.716533865,2012,5
69,2.750031937,2012,5
68,2.865143224,2012,5
103,3.092266077,2012,5