individual,Q1,Q2,Q5,MC6,MC9,MC11,MC12,MC15,MC16,MC18,MC19,MC20,12QTotal,7QTotal,Module Score
2.2,0,0,1,0,0,1,0,0,0,1,0,0,3,1,50
3.2,0,0,1,0,0,0,0,0,1,1,0,0,3,2,56
9.2,0,1,1,1,0,0,0,0,0,0,0,0,3,2,60
10.2,0,1,1,1,1,1,1,1,0,1,0,0,8,5,65
11.2,0,0,1,0,0,0,1,0,0,0,0,0,2,1,54
12.2,1,1,1,0,0,0,1,0,0,1,0,1,6,3,69
13.2,1,0,1,1,0,1,1,0,0,0,0,0,5,2,40
14.2,0,0,1,0,0,0,0,0,0,1,0,0,2,1,38
15.2,0,0,0,0,0,1,0,0,1,0,0,0,2,1,54
16.1,0,0,0,1,0,1,1,0,0,1,1,1,6,4,46
17.1,0,1,1,1,0,0,1,0,0,1,1,1,7,5,80
18.1,0,0,0,1,0,0,0,0,0,0,0,1,2,1,51
19.1,0,0,1,1,0,0,0,0,1,1,0,1,5,3,50
20.1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,61
21.1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,47
22.1,1,0,1,0,0,0,1,0,1,0,0,1,5,2,82
22.2,0,0,0,0,0,1,0,0,0,1,0,0,2,1,60
23.2,0,0,0,1,0,1,0,0,0,1,0,0,3,2,48
25.1,0,0,0,0,0,1,0,0,0,1,0,0,2,1,NA
25.2,0,1,1,0,0,0,0,1,0,1,0,0,4,3,50
26.1,0,1,0,0,0,0,0,1,0,1,1,0,4,4,41
26.2,1,1,1,1,0,1,1,1,1,1,1,1,11,7,79
27.1,0,1,0,0,1,0,0,0,0,0,1,0,3,2,33
28.1,0,0,1,1,0,1,1,1,0,1,0,0,6,4,61
29.1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,47
30.1,0,0,1,0,0,0,0,1,0,0,0,0,2,1,51
31.1,0,0,1,0,0,0,1,0,0,0,0,0,2,1,53
32.1,0,0,0,0,0,0,0,1,0,1,1,0,3,3,50
33.1,0,0,1,0,0,0,1,0,1,1,0,0,4,3,70
34.1,0,0,0,0,0,1,1,0,0,0,0,1,3,1,56
34.2,0,1,1,0,0,0,0,0,0,1,0,0,3,2,46
35.1,1,1,0,1,0,0,1,0,1,1,1,0,7,6,65
35.2,0,1,1,1,0,0,1,0,0,1,0,0,5,4,50
37.1,1,1,0,1,0,1,1,0,1,1,1,1,9,6,70
38.1,0,0,0,1,0,1,0,1,0,1,0,1,5,3,42
41.1,0,1,0,1,0,1,1,1,1,1,1,0,8,7,61
41.2,0,0,1,0,0,1,1,0,0,0,0,0,3,1,61
42.1,0,0,1,1,0,0,0,0,0,0,1,0,3,2,41
42.2,0,0,0,0,0,0,1,0,0,1,0,0,2,2,NA
43.1,0,0,1,1,0,1,1,0,0,0,0,0,4,2,50
43.2,0,0,1,0,0,0,0,0,0,1,0,1,3,1,40
44.1,0,0,1,0,1,0,1,0,0,0,0,1,4,1,40
44.2,1,1,1,0,0,0,1,0,1,1,0,1,7,4,67
45.1,0,0,0,0,0,0,1,0,0,0,1,0,2,2,NA
45.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,55
46.2,0,1,0,1,0,0,0,1,0,0,1,0,4,4,63
47.1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,41
47.2,0,1,1,0,0,0,1,1,1,0,1,0,6,5,79
48.1,0,0,0,0,0,1,0,0,0,1,0,0,2,1,40
48.2,0,0,0,1,0,1,1,0,0,1,1,1,6,4,55
49.1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,40
50.1,0,1,0,0,0,0,0,0,1,1,0,0,3,3,52
51.1,0,0,1,0,0,0,1,0,0,1,1,0,4,3,66
51.2,0,0,1,0,1,1,0,0,0,1,0,0,4,1,NA
52.1,0,0,0,0,0,0,1,0,1,0,0,0,2,2,47
52.2,1,1,1,0,0,0,1,0,0,1,0,0,5,3,44
53.2,0,0,0,0,0,1,0,1,0,0,0,0,2,1,31
54.2,0,1,0,1,0,1,1,0,0,1,1,0,6,5,60
55.1,0,1,1,0,0,0,1,1,1,1,1,0,7,6,NA
56.1,0,1,1,1,0,0,1,1,1,1,1,1,9,7,78
56.2,0,0,1,0,0,1,0,1,0,1,0,0,4,2,71
57.1,1,1,1,1,0,1,1,1,1,1,1,1,11,7,87
57.2,1,1,0,1,0,0,0,1,0,1,0,0,5,4,35
58.1,1,1,0,0,0,0,1,0,0,1,0,0,4,3,59
58.2,0,1,1,1,0,0,0,0,0,0,0,0,3,2,50
59.1,0,1,1,0,0,1,0,1,0,0,0,0,4,2,63
59.2,0,1,1,1,1,0,0,0,0,0,0,0,4,2,NA
60.1,0,0,0,0,0,0,1,0,0,1,0,0,2,2,69
60.2,0,0,1,0,0,1,0,0,0,1,0,0,3,1,48
61.1,0,1,1,0,0,0,1,1,0,1,1,0,6,5,61
61.2,1,1,0,1,0,1,1,1,1,1,1,1,10,7,97
62.1,0,0,0,0,1,1,0,0,0,0,0,1,3,0,40
63.1,0,0,1,0,0,1,1,0,0,1,0,0,4,2,42
64.1,0,0,1,1,0,1,1,0,1,0,1,0,6,4,70
64.2,0,1,1,1,0,1,0,0,1,1,0,0,6,4,88
65.1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,51
65.2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,65
66.1,0,0,1,0,0,0,1,0,0,0,0,0,2,1,53
67.2,0,1,1,1,0,0,1,0,1,1,1,0,7,6,66
68.1,0,0,0,0,0,1,0,1,0,0,0,0,2,1,NA
69.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,42
72.1,0,1,1,1,0,1,0,0,1,0,0,0,5,3,54
72.2,0,0,1,0,0,0,0,1,0,1,1,1,5,3,56
73.1,1,0,0,0,0,1,1,0,0,1,0,0,4,2,57
73.2,0,0,0,1,0,1,1,0,0,1,0,0,4,3,50
74.1,0,1,1,1,0,1,1,1,0,1,1,1,9,6,76
74.2,0,0,1,1,0,0,1,0,0,1,0,1,5,3,58
75.1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,35
75.2,0,0,0,0,0,0,0,1,1,0,1,1,4,3,48
76.1,1,0,1,0,0,0,1,1,0,1,1,1,7,4,36
76.2,1,0,1,0,0,0,0,0,1,0,0,0,3,1,41
77.1,0,0,1,0,0,0,0,1,0,0,0,0,2,1,43
77.2,0,1,1,1,0,0,1,0,0,0,1,1,6,4,65
78.2,0,1,1,0,0,1,0,1,1,1,0,1,7,4,54
79.2,0,1,1,0,1,1,0,0,0,0,0,0,4,1,68
80.2,0,0,0,0,0,1,1,0,0,0,0,1,3,1,56
81.1,0,1,0,0,0,1,0,0,0,1,0,0,3,2,33
81.2,0,0,0,0,0,1,0,0,0,0,1,0,2,1,52
82.1,0,1,0,0,0,1,0,0,0,1,0,0,3,2,74
83.1,0,0,0,0,0,1,0,1,0,1,0,0,3,2,37
83.2,1,0,0,0,0,0,0,0,0,1,0,0,2,1,65
84.1,0,0,1,1,1,0,1,0,1,1,0,0,6,4,27
84.2,1,0,0,0,0,0,0,0,0,1,0,0,2,1,51
85.1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,55
86.1,1,1,1,1,0,1,0,1,1,1,1,0,9,6,NA
89.1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,56
90.1,0,0,1,0,0,1,1,0,0,1,1,0,5,3,54
91.1,1,0,1,0,0,1,0,0,1,0,0,0,4,1,63
92.1,0,1,0,0,0,0,0,0,0,1,0,1,3,2,65
93.1,0,0,0,1,0,1,0,0,1,1,1,0,5,4,74
94.1,0,1,0,0,0,1,1,1,1,1,1,0,7,6,80
95.1,0,0,1,1,0,0,1,1,0,1,1,0,6,5,69
97.1,0,1,0,0,0,1,1,0,1,1,0,1,6,4,46
98.1,0,0,0,0,0,1,0,0,1,1,0,0,3,2,46
99.1,0,0,0,1,0,1,1,0,0,1,0,0,4,3,70
99.2,0,0,1,0,0,0,0,1,0,0,0,1,3,1,62
101.2,0,0,0,0,0,0,0,0,1,1,0,0,2,2,NA
102.2,0,0,1,0,0,1,0,1,0,0,1,1,5,2,43
103.2,0,1,1,0,0,1,1,0,1,1,0,1,7,4,64
104.2,0,0,0,0,0,0,0,1,1,0,1,0,3,3,66
105.1,0,1,0,0,0,0,1,0,1,1,0,1,5,4,51
105.2,0,0,1,1,0,1,0,0,0,0,1,0,4,2,65
106.1,0,1,1,0,0,0,1,0,0,0,0,0,3,2,40
107.1,0,0,1,0,0,1,1,1,0,1,0,0,5,3,64
108.2,0,1,1,1,0,0,0,0,0,0,0,1,4,2,67
109.1,0,1,1,1,1,1,1,0,1,1,1,1,10,6,81
109.2,0,0,1,0,0,1,0,0,0,1,0,1,4,1,41
110.2,0,0,1,0,0,1,1,0,0,1,0,1,5,2,57
111.2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,49
112.1,0,0,0,0,0,0,1,1,1,1,1,0,5,5,62
112.2,0,0,0,0,0,0,0,0,1,0,0,1,2,1,29
113.1,1,0,1,0,0,1,0,0,0,0,1,1,5,1,60
113.2,0,0,0,0,0,1,0,0,0,0,1,1,3,1,45
114.1,0,1,0,1,0,1,0,0,1,1,1,0,6,5,70
114.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,40
115.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
115.2,0,0,1,0,0,0,0,0,1,0,0,0,2,1,52
116.1,0,0,0,1,0,1,1,0,0,0,0,1,4,2,48
117.1,0,1,0,0,0,0,1,1,0,1,1,0,5,5,73
118.1,1,1,1,0,0,0,1,1,0,1,0,0,6,4,60
118.2,0,0,1,0,0,0,1,0,0,1,1,0,4,3,54
119.1,0,0,1,0,0,1,1,0,0,0,1,0,4,2,64
120.1,0,1,1,1,0,0,1,1,1,0,0,0,6,5,76