Judge,Candidate.Chosen,Candidate.Not.Chosen,Session
11,13,1,Bowland030211data
4,13,14,Bowland030211data
6,6,12,Bowland030211data
4,10,13,Bowland030211data
6,3,12,Bowland030211data
11,10,1,Bowland030211data
6,3,11,Bowland030211data
9,13,10,Bowland030211data
2,3,14,Bowland030211data
4,10,1,Bowland030211data
11,3,10,Bowland030211data
9,10,12,Bowland030211data
4,11,1,Bowland030211data
5,11,3,Bowland030211data
9,12,3,Bowland030211data
4,11,6,Bowland030211data
11,3,5,Bowland030211data
9,3,6,Bowland030211data
12,3,6,Bowland030211data
12,3,8,Bowland030211data
5,11,14,Bowland030211data
2,14,11,Bowland030211data
9,6,3,Bowland030211data
8,5,1,Bowland030211data
6,11,5,Bowland030211data
9,3,11,Bowland030211data
9,6,11,Bowland030211data
4,6,8,Bowland030211data
9,6,3,Bowland030211data
5,12,14,Bowland030211data
6,5,8,Bowland030211data
8,7,5,Bowland030211data
11,5,8,Bowland030211data
4,12,8,Bowland030211data
9,3,5,Bowland030211data
6,3,8,Bowland030211data
8,7,8,Bowland030211data
11,11,8,Bowland030211data
6,3,8,Bowland030211data
5,12,5,Bowland030211data
2,9,11,Bowland030211data
12,8,12,Bowland030211data
8,6,8,Bowland030211data
7,12,8,Bowland030211data
6,1,8,Bowland030211data
4,5,12,Bowland030211data
9,5,1,Bowland030211data
11,11,9,Bowland030211data
8,9,6,Bowland030211data
12,11,12,Bowland030211data
7,11,12,Bowland030211data
5,10,5,Bowland030211data
4,10,5,Bowland030211data
12,11,2,Bowland030211data
7,11,5,Bowland030211data
2,15,9,Bowland030211data
12,2,1,Bowland030211data
11,15,9,Bowland030211data
6,9,1,Bowland030211data
7,6,5,Bowland030211data
9,15,1,Bowland030211data
10,6,1,Bowland030211data
7,6,9,Bowland030211data
5,13,10,Bowland030211data
4,10,15,Bowland030211data
3,2,1,Bowland030211data
8,10,9,Bowland030211data
7,10,9,Bowland030211data
12,9,1,Bowland030211data
10,9,1,Bowland030211data
12,13,9,Bowland030211data
10,10,9,Bowland030211data
6,13,9,Bowland030211data
9,4,15,Bowland030211data
2,15,8,Bowland030211data
8,10,15,Bowland030211data
12,18,13,Bowland030211data
7,10,15,Bowland030211data
11,17,15,Bowland030211data
10,10,15,Bowland030211data
1,13,15,Bowland030211data
4,13,15,Bowland030211data
5,17,13,Bowland030211data
3,15,2,Bowland030211data
7,13,15,Bowland030211data
6,7,13,Bowland030211data
3,17,15,Bowland030211data
8,15,13,Bowland030211data
10,17,15,Bowland030211data
11,17,8,Bowland030211data
9,10,4,Bowland030211data
4,3,13,Bowland030211data
10,17,18,Bowland030211data
8,13,11,Bowland030211data
2,8,16,Bowland030211data
1,13,11,Bowland030211data
7,2,13,Bowland030211data
3,17,11,Bowland030211data
5,17,18,Bowland030211data
6,7,14,Bowland030211data
11,8,16,Bowland030211data
5,7,18,Bowland030211data
7,4,2,Bowland030211data
10,7,18,Bowland030211data
12,18,10,Bowland030211data
4,9,3,Bowland030211data
1,11,8,Bowland030211data
3,11,4,Bowland030211data
10,7,3,Bowland030211data
12,5,10,Bowland030211data
8,11,2,Bowland030211data
5,7,3,Bowland030211data
1,7,8,Bowland030211data
8,3,2,Bowland030211data
3,10,4,Bowland030211data
2,1,16,Bowland030211data
6,14,12,Bowland030211data
8,14,3,Bowland030211data
7,14,4,Bowland030211data
10,3,4,Bowland030211data
1,18,7,Bowland030211data
12,17,5,Bowland030211data
5,3,16,Bowland030211data
8,11,14,Bowland030211data
10,4,16,Bowland030211data
4,14,9,Bowland030211data
5,16,1,Bowland030211data
1,18,4,Bowland030211data
1,14,4,Bowland030211data
9,5,10,Bowland030211data
7,5,14,Bowland030211data
11,12,16,Bowland030211data
1,14,16,Bowland030211data
10,16,1,Bowland030211data
1,5,16,Bowland030211data
6,6,12,Bowland030211data
2,12,1,Bowland030211data
10,9,1,Bowland030211data
5,9,1,Bowland030211data
3,10,8,Bowland030211data
11,6,12,Bowland030211data
8,17,11,Bowland030211data
1,6,5,Bowland030211data
3,9,8,Bowland030211data
10,5,9,Bowland030211data
2,12,6,Bowland030211data
3,9,5,Bowland030211data
1,10,6,Bowland030211data
12,17,14,Bowland030211data
9,2,12,Bowland030211data
3,11,6,Bowland030211data
4,7,15,Bowland030211data
7,17,1,Bowland030211data
10,13,15,Bowland030211data
12,6,12,Bowland030211data
5,13,6,Bowland030211data
8,18,15,Bowland030211data
1,13,12,Bowland030211data
7,6,16,Bowland030211data
7,7,15,Bowland030211data
3,13,12,Bowland030211data
11,15,13,Bowland030211data
6,3,18,Bowland030211data
12,4,8,Bowland030211data
3,3,1,Bowland030211data
1,15,3,Bowland030211data
1,17,2,Bowland030211data
10,10,2,Bowland030211data
3,14,2,Bowland030211data
5,4,8,Bowland030211data
3,7,16,Bowland030211data
1,11,9,Bowland030211data
3,5,18,Bowland030211data
23,7,14,Bowland070211data
23,13,14,Bowland070211data
23,10,13,Bowland070211data
23,10,15,Bowland070211data
23,7,15,Bowland070211data
23,7,9,Bowland070211data
23,9,6,Bowland070211data
23,14,6,Bowland070211data
23,14,16,Bowland070211data
23,5,16,Bowland070211data
23,18,5,Bowland070211data
23,18,11,Bowland070211data
23,3,11,Bowland070211data
21,3,2,Bowland070211data
21,6,2,Bowland070211data
21,14,6,Bowland070211data
21,7,14,Bowland070211data
21,7,12,Bowland070211data
21,5,12,Bowland070211data
21,10,5,Bowland070211data
21,17,10,Bowland070211data
21,17,18,Bowland070211data
21,18,4,Bowland070211data
21,15,4,Bowland070211data
21,15,16,Bowland070211data
13,11,5,Bowland070211data
13,10,5,Bowland070211data
13,17,10,Bowland070211data
13,17,14,Bowland070211data
13,14,12,Bowland070211data
13,13,12,Bowland070211data
13,13,4,Bowland070211data
13,18,4,Bowland070211data
13,5,18,Bowland070211data
20,3,15,Bowland070211data
20,7,3,Bowland070211data
20,7,9,Bowland070211data
20,6,9,Bowland070211data
20,6,14,Bowland070211data
20,11,14,Bowland070211data
20,5,11,Bowland070211data
20,17,5,Bowland070211data
20,17,13,Bowland070211data
20,13,4,Bowland070211data
20,15,4,Bowland070211data
20,15,2,Bowland070211data
16,15,3,Bowland070211data
16,15,18,Bowland070211data
16,6,18,Bowland070211data
16,6,4,Bowland070211data
16,17,4,Bowland070211data
16,17,9,Bowland070211data
19,8,1,Bowland070211data
19,10,6,Bowland070211data
19,5,6,Bowland070211data
19,3,5,Bowland070211data
19,7,3,Bowland070211data
19,7,4,Bowland070211data
19,15,4,Bowland070211data
19,15,14,Bowland070211data
19,13,14,Bowland070211data
19,13,2,Bowland070211data
19,12,2,Bowland070211data
19,9,12,Bowland070211data
19,9,14,Bowland070211data
19,10,14,Bowland070211data
19,13,10,Bowland070211data
19,13,18,Bowland070211data
19,18,1,Bowland070211data
18,15,18,Bowland070211data
18,14,18,Bowland070211data
18,14,2,Bowland070211data
18,10,2,Bowland070211data
18,10,18,Bowland070211data
18,15,18,Bowland070211data
18,15,8,Bowland070211data
18,12,8,Bowland070211data
18,1,12,Bowland070211data
18,6,1,Bowland070211data
18,6,16,Bowland070211data
18,5,16,Bowland070211data
18,13,5,Bowland070211data
18,13,4,Bowland070211data
18,3,4,Bowland070211data
18,3,9,Bowland070211data
15,15,4,Bowland070211data
15,14,15,Bowland070211data
15,13,14,Bowland070211data
15,13,3,Bowland070211data
15,18,3,Bowland070211data
15,18,15,Bowland070211data
15,7,15,Bowland070211data
15,7,8,Bowland070211data
15,2,8,Bowland070211data
15,2,1,Bowland070211data
15,11,1,Bowland070211data
15,5,11,Bowland070211data
15,13,5,Bowland070211data
15,13,10,Bowland070211data
15,7,10,Bowland070211data
14,7,18,Bowland070211data
14,7,3,Bowland070211data
14,3,8,Bowland070211data
14,2,8,Bowland070211data
14,2,1,Bowland070211data
14,6,1,Bowland070211data
14,6,16,Bowland070211data
14,9,16,Bowland070211data
14,17,9,Bowland070211data
14,17,5,Bowland070211data
14,5,4,Bowland070211data
14,15,4,Bowland070211data
14,15,11,Bowland070211data
17,6,5,Bowland070211data
17,3,5,Bowland070211data
17,7,3,Bowland070211data
17,7,15,Bowland070211data
17,15,18,Bowland070211data
17,14,18,Bowland070211data
17,14,2,Bowland070211data
17,3,2,Bowland070211data
17,10,3,Bowland070211data
17,10,18,Bowland070211data
17,6,18,Bowland070211data
17,6,14,Bowland070211data
17,13,14,Bowland070211data
17,13,4,Bowland070211data
17,15,4,Bowland070211data
17,15,16,Bowland070211data
22,14,18,Bowland070211data
22,13,14,Bowland070211data
22,13,10,Bowland070211data
22,7,10,Bowland070211data
22,7,3,Bowland070211data
22,3,12,Bowland070211data
22,12,2,Bowland070211data
22,2,1,Bowland070211data
22,16,1,Bowland070211data
22,11,16,Bowland070211data
22,11,5,Bowland070211data
22,5,4,Bowland070211data
22,2,4,Bowland070211data
22,8,2,Bowland070211data
12,4,17,GCSE030211data
12,8,4,GCSE030211data
12,15,9,GCSE030211data
12,18,14,GCSE030211data
12,8,17,GCSE030211data
12,3,8,GCSE030211data
12,9,3,GCSE030211data
12,2,9,GCSE030211data
12,16,1,GCSE030211data
12,5,16,GCSE030211data
10,4,10,GCSE030211data
10,9,18,GCSE030211data
10,8,14,GCSE030211data
10,5,6,GCSE030211data
10,3,7,GCSE030211data
10,14,16,GCSE030211data
10,6,4,GCSE030211data
2,5,9,GCSE030211data
2,7,13,GCSE030211data
2,6,7,GCSE030211data
2,5,11,GCSE030211data
4,8,10,GCSE030211data
4,1,11,GCSE030211data
4,5,7,GCSE030211data
6,8,18,GCSE030211data
6,6,16,GCSE030211data
6,2,5,GCSE030211data
6,10,17,GCSE030211data
3,11,18,GCSE030211data
3,5,6,GCSE030211data
3,1,12,GCSE030211data
3,3,2,GCSE030211data
3,15,10,GCSE030211data
3,13,15,GCSE030211data
3,4,5,GCSE030211data
3,9,12,GCSE030211data
3,3,13,GCSE030211data
1,4,15,GCSE030211data
1,4,18,GCSE030211data
1,8,4,GCSE030211data
1,11,8,GCSE030211data
1,6,11,GCSE030211data
1,9,13,GCSE030211data
1,7,9,GCSE030211data
1,11,10,GCSE030211data
1,16,14,GCSE030211data
8,12,15,GCSE030211data
8,11,12,GCSE030211data
8,5,16,GCSE030211data
8,10,13,GCSE030211data
8,14,10,GCSE030211data
8,11,14,GCSE030211data
8,2,8,GCSE030211data
5,4,2,GCSE030211data
5,12,18,GCSE030211data
5,15,12,GCSE030211data
5,6,10,GCSE030211data
7,12,17,GCSE030211data
7,9,12,GCSE030211data
7,15,14,GCSE030211data
7,11,15,GCSE030211data
7,6,11,GCSE030211data
7,4,5,GCSE030211data
7,3,4,GCSE030211data
7,1,18,GCSE030211data
7,14,8,GCSE030211data
11,16,15,GCSE030211data
11,5,16,GCSE030211data
11,7,8,GCSE030211data
11,18,17,GCSE030211data
9,3,15,GCSE030211data
9,12,11,GCSE030211data
9,17,12,GCSE030211data
9,8,17,GCSE030211data
9,6,18,GCSE030211data
9,4,13,GCSE030211data
9,7,9,GCSE030211data
12,8,16,GCSE030211data
12,16,9,GCSE030211data
12,15,14,GCSE030211data
12,18,17,GCSE030211data
12,2,1,GCSE030211data
10,4,18,GCSE030211data
10,9,14,GCSE030211data
10,8,6,GCSE030211data
10,5,12,GCSE030211data
10,12,7,GCSE030211data
10,3,15,GCSE030211data
10,1,11,GCSE030211data
2,5,1,GCSE030211data
2,1,13,GCSE030211data
2,6,4,GCSE030211data
2,2,12,GCSE030211data
2,10,18,GCSE030211data
4,8,11,GCSE030211data
4,1,4,GCSE030211data
4,4,7,GCSE030211data
4,5,6,GCSE030211data
6,4,18,GCSE030211data
6,8,14,GCSE030211data
6,14,16,GCSE030211data
6,6,5,GCSE030211data
6,2,17,GCSE030211data
6,10,12,GCSE030211data
6,12,11,GCSE030211data
6,11,13,GCSE030211data
6,9,14,GCSE030211data
3,14,18,GCSE030211data
3,11,6,GCSE030211data
3,5,12,GCSE030211data
3,1,2,GCSE030211data
3,3,10,GCSE030211data
3,16,17,GCSE030211data
1,4,18,GCSE030211data
1,6,5,GCSE030211data
1,5,2,GCSE030211data
1,2,13,GCSE030211data
1,7,10,GCSE030211data
1,1,17,GCSE030211data
8,12,15,GCSE030211data
8,11,16,GCSE030211data
8,5,13,GCSE030211data
5,1,2,GCSE030211data
5,4,3,GCSE030211data
5,3,9,GCSE030211data
5,9,7,GCSE030211data
5,7,18,GCSE030211data
5,15,13,GCSE030211data
5,4,8,GCSE030211data
5,14,16,GCSE030211data
5,5,2,GCSE030211data
5,15,17,GCSE030211data
5,3,7,GCSE030211data
7,9,14,GCSE030211data
7,6,5,GCSE030211data
7,3,10,GCSE030211data
7,10,18,GCSE030211data
7,1,15,GCSE030211data
7,16,17,GCSE030211data
11,5,13,GCSE030211data
11,13,10,GCSE030211data
11,10,8,GCSE030211data
11,14,11,GCSE030211data
9,4,18,GCSE030211data
9,18,15,GCSE030211data
9,3,9,GCSE030211data
9,9,14,GCSE030211data
9,14,11,GCSE030211data
9,8,10,GCSE030211data
9,10,18,GCSE030211data
9,6,15,GCSE030211data
13,11,18,GCSE070211data
13,5,11,GCSE070211data
13,12,16,GCSE070211data
13,3,12,GCSE070211data
13,7,17,GCSE070211data
13,2,17,GCSE070211data
13,3,18,GCSE070211data
14,6,8,GCSE070211data
14,1,12,GCSE070211data
14,9,14,GCSE070211data
14,4,15,GCSE070211data
14,4,16,GCSE070211data
14,10,8,GCSE070211data
14,6,11,GCSE070211data
14,10,17,GCSE070211data
14,12,7,GCSE070211data
15,4,17,GCSE070211data
15,2,4,GCSE070211data
15,8,10,GCSE070211data
15,5,8,GCSE070211data
15,6,5,GCSE070211data
15,3,14,GCSE070211data
15,16,18,GCSE070211data
16,5,4,GCSE070211data
16,2,15,GCSE070211data
16,1,2,GCSE070211data
16,8,10,GCSE070211data
16,2,14,GCSE070211data
16,3,2,GCSE070211data
17,2,4,GCSE070211data
17,8,11,GCSE070211data
17,6,8,GCSE070211data
17,14,9,GCSE070211data
17,15,16,GCSE070211data
17,5,15,GCSE070211data
17,2,5,GCSE070211data
17,13,17,GCSE070211data
17,1,13,GCSE070211data
17,8,11,GCSE070211data
18,15,7,GCSE070211data
18,8,15,GCSE070211data
18,12,8,GCSE070211data
18,6,11,GCSE070211data
18,9,14,GCSE070211data
19,3,4,GCSE070211data
19,2,3,GCSE070211data
19,6,5,GCSE070211data
19,9,18,GCSE070211data
20,5,9,GCSE070211data
20,4,5,GCSE070211data
20,2,4,GCSE070211data
20,8,10,GCSE070211data
20,1,12,GCSE070211data
20,2,5,GCSE070211data
20,7,15,GCSE070211data
21,5,14,GCSE070211data
21,3,5,GCSE070211data
21,2,3,GCSE070211data
21,1,2,GCSE070211data
21,8,15,GCSE070211data
21,6,5,GCSE070211data
21,13,17,GCSE070211data
21,8,18,GCSE070211data
22,11,18,GCSE070211data
22,6,11,GCSE070211data
22,12,16,GCSE070211data
22,3,12,GCSE070211data
22,1,6,GCSE070211data
22,14,11,GCSE070211data
22,2,5,GCSE070211data
22,4,13,GCSE070211data
23,13,17,GCSE070211data
23,15,13,GCSE070211data
13,5,9,GCSE070211data
13,9,16,GCSE070211data
13,3,4,GCSE070211data
13,4,8,GCSE070211data
13,8,17,GCSE070211data
13,7,10,GCSE070211data
13,10,13,GCSE070211data
13,6,12,GCSE070211data
13,15,14,GCSE070211data
13,9,16,GCSE070211data
14,7,8,GCSE070211data
14,6,12,GCSE070211data
14,1,14,GCSE070211data
14,9,15,GCSE070211data
14,4,18,GCSE070211data
14,18,17,GCSE070211data
14,12,13,GCSE070211data
14,5,1,GCSE070211data
15,2,1,GCSE070211data
15,1,7,GCSE070211data
15,7,10,GCSE070211data
15,6,9,GCSE070211data
15,9,12,GCSE070211data
15,12,14,GCSE070211data
15,3,18,GCSE070211data
15,16,7,GCSE070211data
15,6,1,GCSE070211data
15,15,14,GCSE070211data
16,5,15,GCSE070211data
16,1,10,GCSE070211data
16,8,14,GCSE070211data
16,3,7,GCSE070211data
17,2,18,GCSE070211data
17,18,11,GCSE070211data
17,6,9,GCSE070211data
17,14,16,GCSE070211data
17,2,17,GCSE070211data
17,1,12,GCSE070211data
17,3,4,GCSE070211data
18,4,5,GCSE070211data
18,5,16,GCSE070211data
18,16,7,GCSE070211data
18,12,13,GCSE070211data
18,13,11,GCSE070211data
19,2,5,GCSE070211data
19,6,13,GCSE070211data
19,13,18,GCSE070211data
20,2,7,GCSE070211data
20,7,10,GCSE070211data
20,8,12,GCSE070211data
20,1,5,GCSE070211data
20,2,10,GCSE070211data
20,10,13,GCSE070211data
20,6,11,GCSE070211data
20,3,16,GCSE070211data
21,1,7,GCSE070211data
21,7,10,GCSE070211data
21,10,15,GCSE070211data
21,8,5,GCSE070211data
21,6,4,GCSE070211data
21,4,2,GCSE070211data
21,2,17,GCSE070211data
21,13,9,GCSE070211data
21,5,11,GCSE070211data
22,1,10,GCSE070211data
22,10,18,GCSE070211data
22,6,9,GCSE070211data
22,9,16,GCSE070211data
22,3,4,GCSE070211data
22,4,8,GCSE070211data
22,8,7,GCSE070211data
22,7,10,GCSE070211data
22,10,12,GCSE070211data
23,2,1,GCSE070211data
23,1,6,GCSE070211data
23,6,14,GCSE070211data
23,14,17,GCSE070211data