pdf,Coursework.1,Coursework,Coursework.3,Coursework.5,Coursework.6,class.test,Exam.1
109,10,83,72,0,70,14,35.4
1,10,78,39,15,40,15,13.2
85,12,89,78,22,20,5,28.8
57,3,67,17,3,100,0,26.4
47,16,100,67,22,80,27,41.4
159,11,67,28,15,0,17,21.6
22,10.5,100,94,25,0,34,43.8
8,17,94,100,25,70,20,40.2
26,13.5,89,83,22,100,16,41.4
5,12,100,89,0,0,17,18
152,13,94,61,23,100,31,44.4
41,10,100,83,19,10,21,30
9,0,89,100,23,60,25,31.2
100,17,100,78,21,90,26,36
139,9.5,94,39,17,30,19,35.4
95,11,94,67,0,0,13,25.8
104,14,83,94,27,80,34,42
77,17.5,94,61,NA,50,25,37.8
53,11,94,50,19,80,25,37.8
52,20,94,83,24,100,30,38.4
82,15,89,78,28,50,37,49.2
60,14,0,0,16,0,26,38.4
115,7.5,100,89,15,80,NA,34.8
43,19,78,56,22,0,22,40.8
92,13,94,83,14,0,26,36.6
105,19,89,78,27,50,22,45
146,24,83,56,26,70,20,28.8
106,20,100,83,12,30,30,47.4
98,22.5,100,72,26,60,33,50.4
51,15,61,33,18,50,22,39.6
160,10,72,61,21,60,24,28.2
37,11.5,89,100,17,0,14,34.8
156,11,100,89,16,0,36.5,36
108,13.5,100,44,17,60,25,35.4
54,14.5,94,94,25,60,31,49.8
122,21,100,94,19,50,21,40.2
49,21,89,78,26,60,27,49.2
87,11,94,72,19,80,18.5,28.2
118,12.5,72,44,18,60,31,37.2
50,18.5,39,39,21,0,21,35.4
136,21,94,39,19,40,27,43.2
99,10.5,50,39,15,90,24.5,31.2
29,14,100,94,23,0,25,46.2
11,18,78,100,26,50,30,37.8
33,29,100,100,30,50,36,49.8
19,10,89,33,15,30,16.5,28.8
97,16,100,83,22,90,31,42.6
144,15,83,22,0,70,20,29.4
157,11.5,67,89,17,40,28,39.6
129,10.5,61,61,20,40,21,32.4
167,19,89,67,25,80,23,34.2
127,27.5,100,72,23,20,18.5,35.4
154,17,100,72,26,70,32,44.4
130,13,94,56,10,70,31,53.4
141,13,67,78,0,50,16,27
151,17,89,56,19,60,22,36
42,26,94,56,27,70,32,53.4
32,14,72,28,28,90,22,45.6
168,25,94,67,25,50,34,39.6
112,11.5,83,83,16,0,9,38.4
121,12,94,78,20,60,26,31.8
28,12.5,89,83,17,90,18,27.6
138,18,89,72,17,60,22,42
133,11.5,94,83,21,60,28,34.2
23,3.5,33,33,16,50,21,28.8
166,20.5,94,94,27,60,34,45.6
116,30,83,83,25,90,37,57
164,15,67,44,12,80,8,23.4
46,16,89,78,18,80,19,33.6
40,13.5,100,78,7,100,16,28.8
80,14,56,44,17,90,28,40.2
128,14,56,72,16,60,2,22.8
2,9,67,39,2,60,17,39.6
55,12,56,44,15,70,21,37.2
170,8,94,50,17.5,50,19,33.6
145,8,44,61,0,90,18,25.8
44,16,94,78,24,80,18,30
24,11,94,50,17,60,11,32.4
34,3,56,22,0,10,21,20.4
79,16,94,89,9,100,26,33
76,8,83,67,0,50,24,16.2
88,9,100,50,21,40,14,20.4
140,16,83,0,0,0,13,13.8
39,10.5,72,61,22,40,24,34.2
111,11,94,33,15,30,33,45.6
114,10.5,56,89,11,70,31,20.4
148,15.5,67,72,18,70,32,39
4,7.5,67,44,16,60,11.5,33.6
161,20,100,78,19,100,33,46.2
25,8,89,56,19,40,6,27
48,16.5,94,72,27,90,29,39.6
91,19,83,61,20,40,23,39.6
78,9,83,89,13,70,11,15
155,16.5,67,17,21,50,20,36
45,25,94,67,25,10,33,45.6
89,24.5,89,67,25,50,31,45.6
103,14,100,78,20,100,26,36.6
117,13.5,100,83,21,70,29,35.4
113,6,78,44,0,70,7,19.8
38,10,83,28,10,20,12,5.4
96,14,100,56,23,60,29,43.2
143,11.5,83,72,0,90,13,31.2
162,12,22,28,14,30,6,11.4
6,6,50,39,8,60,19,21.6
101,19,50,33,15,0,4,19.8
169,21,83,83,0,70,28,30.6
153,11,89,67,14,60,21,32.4
27,19,94,61,26,50,32,41.4
147,11,89,22,13,70,17,36.6
84,13,100,17,9,70,11,30
3,11,94,83,11,80,26,42
165,15,72,67,15,70,8,22.2
125,6.5,100,83,12,100,23,26.4
93,0,94,72,20,0,25,36.6
31,18,100,89,24,0,37,43.8
163,20,94,67,29,40,37,46.8
94,6,94,33,0,90,18,26.4
123,10.5,100,56,12,60,15,21.6
131,11,94,67,0,60,30,31.2
36,23,89,89,24,80,34,54
124,10.5,100,78,25,90,30,44.4
7,10,56,72,NA,70,18,21
30,5.5,61,78,17,80,0,12.6
102,10,94,67,22,70,NA,0
86,15.5,72,0,20,60,30,37.8
149,21,83,0,14,0,14,20.4
158,12,89,22,9,40,15,23.4
137,19,89,33,22.5,80,25.5,36
21,24,100,100,24,80,30,24.6
150,22.5,94,89,20,50,5,31.2
126,10,100,72,18,80,19,34.2
20,21,61,28,12,50,23,27.6
120,17.5,100,72,21,50,26,28.2
35,8,100,100,16,100,29,44.4
134,13.5,89,89,22,90,27,42.6
135,18.5,94,72,27,80,34,29.4
10,13.5,89,83,17,80,28,27.6
90,8,89,83,14,30,26,40.8
107,19.5,100,83,25,80,32,46.8
119,12,56,11,18,70,28,36
59,7,94,72,10,0,13,21.6