Judge,A,B,choseA,choseB,Candidate.Chosen,Candidate.Not.Chosen
2,104,103,1,0,104,103
2,86,104,0,1,104,86
2,92,86,0,1,86,92
2,83,92,1,0,83,92
2,107,83,0,1,83,107
2,101,107,0,1,107,101
2,1010,101,1,0,1010,101
2,81,1010,0,1,1010,81
2,106,81,1,0,106,81
2,108,106,0,1,106,108
2,93,108,0,1,108,93
2,109,93,1,0,109,93
2,85,109,1,0,85,109
2,95,85,1,0,95,85
2,94,95,0,1,95,94
2,91,94,1,0,91,94
2,810,91,1,0,810,91
2,84,810,0,1,810,84
2,88,84,1,0,88,84
2,102,88,1,0,102,88
2,82,102,0,1,102,82
2,87,82,1,0,87,82
2,89,87,1,0,89,87
2,86,89,0,1,89,86
2,92,86,0,1,86,92
2,83,92,1,0,83,92
2,105,83,1,0,105,83
2,103,105,1,0,103,105
2,107,103,0,1,103,107
2,104,107,1,0,104,107
2,101,104,0,1,104,101
2,1010,101,1,0,1010,101
2,81,1010,0,1,1010,81
2,89,81,0,1,81,89
2,88,89,0,1,89,88
2,102,88,1,0,102,88
2,109,102,0,1,102,109
2,91,109,1,0,91,109
2,94,91,0,1,91,94
2,95,94,0,1,94,95
2,810,95,1,0,810,95
2,85,810,0,1,810,85
2,84,85,0,1,85,84
2,93,84,1,0,93,84
2,87,93,1,0,87,93
2,82,87,0,1,87,82
2,108,82,1,0,108,82
2,106,108,0,1,108,106
2,86,106,0,1,106,86
2,105,86,1,0,105,86
4,92,91,1,0,92,91
4,106,92,1,0,106,92
4,103,106,0,1,106,103
4,107,103,0,1,103,107
4,104,107,1,0,104,107
4,101,104,0,1,104,101
4,81,101,0,1,101,81
4,1010,81,1,0,1010,81
4,82,1010,0,1,1010,82
3,108,105,1,0,108,105
3,89,108,1,0,89,108
3,87,89,0,1,89,87
3,88,87,0,1,87,88
3,102,88,1,0,102,88
3,93,102,1,0,93,102
3,84,93,0,1,93,84
3,109,84,1,0,109,84
3,85,109,1,0,85,109
3,810,85,0,1,85,810
3,95,810,0,1,810,95
3,94,95,1,0,94,95
3,91,94,1,0,91,94
3,92,91,1,0,92,91
3,82,92,0,1,92,82
3,86,82,1,0,86,82
3,103,86,1,0,103,86
3,107,103,1,0,107,103
3,104,107,0,1,107,104
3,101,104,1,0,101,104
3,81,101,0,1,101,81
3,1010,81,0,1,81,1010
3,106,1010,0,1,1010,106
3,105,106,0,1,106,105
3,108,105,0,1,105,108
3,87,108,0,1,108,87
3,89,87,1,0,89,87
3,88,89,0,1,89,88
3,102,88,0,1,88,102
3,84,102,0,1,102,84
3,93,84,1,0,93,84
3,109,93,0,1,93,109
3,810,109,0,1,109,810
3,85,810,1,0,85,810
3,95,85,0,1,85,95
3,94,95,0,1,95,94
3,91,94,0,1,94,91
3,83,91,1,0,83,91
3,92,83,0,1,83,92
3,86,92,1,0,86,92
3,82,86,0,1,86,82
3,83,82,1,0,83,82
3,103,83,1,0,103,83
3,107,103,0,1,103,107
3,104,107,0,1,107,104
3,101,104,0,1,104,101
3,1010,101,0,1,101,1010
3,83,1010,1,0,83,1010
3,81,83,1,0,81,83
3,83,81,0,1,81,83
4,106,82,1,0,106,82
4,87,106,0,1,106,87
4,105,87,1,0,105,87
4,108,105,0,1,105,108
4,89,108,0,1,108,89
4,88,89,0,1,89,88
4,94,88,0,1,88,94
4,810,94,1,0,810,94
4,85,810,0,1,810,85
4,95,85,0,1,85,95
4,109,95,1,0,109,95
4,84,109,0,1,109,84
4,102,84,0,1,84,102
4,92,102,0,1,102,92
4,103,107,1,0,103,107
4,84,93,1,0,84,93
4,810,91,1,0,810,91
4,89,88,1,0,89,88
4,82,86,1,0,82,86
4,102,83,0,1,83,102
4,108,106,0,1,106,108
4,1010,105,1,0,1010,105
4,109,95,1,0,109,95
4,81,87,1,0,81,87
4,94,85,0,1,85,94
4,104,101,1,0,104,101
4,91,93,0,1,93,91
4,105,103,0,1,103,105
4,84,92,1,0,84,92
4,102,108,0,1,108,102
4,88,93,1,0,88,93
4,81,1010,0,1,1010,81
4,95,82,0,1,82,95
4,89,87,0,1,87,89
4,101,107,0,1,107,101
4,104,86,1,0,104,86
4,106,83,1,0,106,83
4,810,94,1,0,810,94
4,109,85,1,0,109,85
4,107,86,1,0,107,86
4,83,103,0,1,103,83
1,810,84,0,1,84,810
1,95,91,1,0,95,91
1,82,81,0,1,81,82
1,102,109,1,0,102,109
1,94,85,0,1,85,94
1,105,92,1,0,105,92
1,88,108,0,1,108,88
1,86,106,1,0,86,106
1,89,93,1,0,89,93
1,104,87,1,0,104,87
1,101,1010,1,0,101,1010
1,109,92,0,1,92,109
1,83,93,1,0,83,93
1,87,88,1,0,87,88
1,85,92,0,1,92,85
1,1010,102,1,0,1010,102
1,107,81,1,0,107,81
1,101,86,1,0,101,86
1,104,103,0,1,103,104
1,108,106,0,1,106,108
1,84,94,1,0,84,94
1,810,91,0,1,91,810
1,82,95,1,0,82,95
1,89,105,0,1,105,89
1,104,93,1,0,104,93
1,92,108,0,1,108,92
1,81,82,1,0,81,82
1,95,91,1,0,95,91
1,86,102,1,0,86,102
1,106,101,0,1,101,106
1,85,83,0,1,83,85
1,93,103,0,1,103,93
1,94,105,0,1,105,94
1,1010,109,1,0,1010,109
1,107,89,1,0,107,89
1,810,87,0,1,87,810
1,84,88,0,1,88,84
1,101,91,1,0,101,91
1,84,93,0,1,93,84
1,85,1010,0,1,1010,85
1,81,108,1,0,81,108
1,91,102,0,1,102,91
1,105,86,0,1,86,105
1,104,810,1,0,104,810
1,82,87,1,0,82,87
1,89,95,1,0,89,95
1,83,103,0,1,103,83
1,88,106,0,1,106,88
1,92,107,0,1,107,92
1,109,94,1,0,109,94
6,95,94,1,0,95,94
6,92,95,0,1,95,92
6,87,92,0,1,92,87
6,82,87,1,0,82,87
6,89,82,0,1,82,89
6,81,89,1,0,81,89
6,106,81,1,0,106,81
6,102,106,0,1,106,102
6,91,102,0,1,102,91
6,810,91,0,1,91,810
6,93,810,1,0,93,810
6,84,93,0,1,93,84
6,85,84,1,0,85,84
6,109,85,1,0,109,85
6,103,109,1,0,103,109
6,105,103,0,1,103,105
6,108,105,0,1,105,108
6,1010,108,0,1,108,1010
6,107,1010,1,0,107,1010
6,86,107,0,1,107,86
6,83,86,1,0,83,86
6,101,83,0,1,83,101
6,92,101,0,1,101,92
6,88,92,1,0,88,92
6,94,88,1,0,94,88
6,95,94,1,0,95,94
6,82,95,1,0,82,95
6,87,82,0,1,82,87
6,89,87,1,0,89,87
6,106,89,1,0,106,89
6,103,106,0,1,106,103
6,810,103,0,1,103,810
6,93,810,1,0,93,810
6,91,93,1,0,91,93
6,85,91,1,0,85,91
6,84,85,0,1,85,84
6,109,84,1,0,109,84
6,102,109,0,1,109,102
6,1010,102,1,0,1010,102
6,88,1010,0,1,1010,88
6,94,88,1,0,94,88
6,95,94,1,0,95,94
6,92,95,1,0,92,95
6,101,92,1,0,101,92
6,83,101,1,0,83,101
6,86,83,1,0,86,83
6,107,86,1,0,107,86
6,108,107,1,0,108,107
6,105,108,0,1,108,105
6,106,105,0,1,105,106
7,82,91,0,1,91,82
7,89,82,1,0,89,82
7,87,89,0,1,89,87
7,85,87,1,0,85,87
7,84,85,0,1,85,84
7,810,84,0,1,84,810
7,103,810,1,0,103,810
7,93,103,0,1,103,93
7,109,93,1,0,109,93
7,92,109,0,1,109,92
7,88,92,1,0,88,92
7,94,88,1,0,94,88
7,95,94,1,0,95,94
7,89,95,1,0,89,95
7,91,89,0,1,89,91
7,82,91,0,1,91,82
7,106,82,1,0,106,82
7,105,106,1,0,105,106
7,108,105,0,1,105,108
7,107,108,0,1,108,107
7,1010,107,1,0,1010,107
7,86,1010,0,1,1010,86
7,101,86,0,1,86,101
7,83,101,1,0,83,101
7,87,83,0,1,83,87
7,810,87,1,0,810,87
7,85,810,0,1,810,85
7,84,85,1,0,84,85
7,93,84,0,1,84,93
7,92,93,1,0,92,93
7,105,92,1,0,105,92
7,106,105,1,0,106,105
7,1010,106,0,1,106,1010
7,107,1010,1,0,107,1010
7,108,107,1,0,108,107
7,86,108,0,1,108,86
7,101,86,0,1,86,101
7,83,101,1,0,83,101
7,82,83,0,1,83,82
7,91,82,1,0,91,82
7,89,91,1,0,89,91
7,94,89,0,1,89,94
7,95,94,0,1,94,95
7,88,95,0,1,95,88
7,85,88,1,0,85,88
7,84,85,0,1,85,84
7,103,84,1,0,103,84
7,104,103,1,0,104,103
7,810,104,0,1,104,810
7,92,810,1,0,92,810
9,103,104,1,0,103,104
9,104,103,0,1,103,104
9,93,104,0,1,104,93
9,104,93,1,0,104,93
9,109,104,0,1,104,109
9,94,109,0,1,109,94
9,95,94,1,0,95,94
9,109,95,1,0,109,95
9,81,109,1,0,81,109
9,88,81,0,1,81,88
9,89,88,1,0,89,88
9,81,89,1,0,81,89
9,91,81,0,1,81,91
9,82,91,1,0,82,91
9,81,82,1,0,81,82
9,107,81,1,0,107,81
9,104,107,1,0,104,107
9,81,104,0,1,104,81
9,104,81,1,0,104,81
9,81,104,0,1,104,81
9,104,81,1,0,104,81
9,87,104,0,1,104,87
9,106,87,1,0,106,87
9,83,101,0,1,101,83
9,87,108,1,0,87,108
9,103,105,1,0,103,105
9,84,92,1,0,84,92
9,93,810,0,1,810,93
9,94,109,0,1,109,94
9,95,89,0,1,89,95
9,88,91,0,1,91,88
9,104,86,1,0,104,86
9,107,1010,0,1,1010,107
9,82,85,1,0,82,85
9,81,102,1,0,81,102
9,102,103,0,1,103,102
9,105,106,1,0,105,106
9,83,86,0,1,86,83
9,85,87,0,1,87,85
9,109,1010,0,1,1010,109
9,103,101,1,0,103,101
9,95,94,1,0,95,94
9,104,92,1,0,104,92
9,107,810,1,0,107,810
9,88,93,0,1,93,88
9,81,108,1,0,81,108
9,91,82,0,1,82,91
9,89,84,0,1,84,89
9,84,85,0,1,85,84
9,92,810,1,0,92,810
8,86,102,1,0,86,102
8,102,86,0,1,86,102
8,87,102,0,1,102,87
8,105,87,1,0,105,87
8,108,105,0,1,105,108
8,1010,108,0,1,108,1010
8,106,1010,1,0,106,1010
8,102,106,0,1,106,102
8,101,102,1,0,101,102
8,102,101,0,1,101,102
8,83,102,1,0,83,102
8,89,83,0,1,83,89
8,102,93,1,0,102,93
8,83,105,0,1,105,83
8,95,85,0,1,85,95
8,94,84,0,1,84,94
8,86,109,1,0,86,109
8,91,92,0,1,92,91
8,87,82,1,0,87,82
8,1010,104,0,1,104,1010
8,107,81,0,1,81,107
8,810,88,1,0,810,88
8,108,101,1,0,108,101
8,106,103,0,1,103,106
8,810,109,1,0,810,109
8,94,93,0,1,93,94
8,109,101,0,1,101,109
8,88,84,1,0,88,84
8,81,86,1,0,81,86
8,87,107,0,1,107,87
8,82,95,1,0,82,95
8,106,105,1,0,106,105
8,102,89,1,0,102,89
8,83,103,0,1,103,83
8,104,108,1,0,104,108
8,1010,92,1,0,1010,92
8,91,85,1,0,91,85
8,103,93,1,0,103,93
8,81,93,1,0,81,93
8,101,104,0,1,104,101
8,85,89,0,1,89,85
8,1010,86,1,0,1010,86
8,102,94,1,0,102,94
8,810,87,0,1,87,810
8,88,83,0,1,83,88
8,84,92,0,1,92,84
8,106,109,1,0,106,109
8,105,82,1,0,105,82
8,91,108,0,1,108,91
8,95,107,0,1,107,95